name	css	codepoint	categories	popularity	terms
4g_mobiledata_badge	ms:ms ms-4g_mobiledata_badge	f7ef	Android	13	4g;4g mobiledata badge;4g_mobiledata_badge;alphabet;Android;badge;cell phone;cellular;character;communication.;connection;data transfer;device;digit;digital;display;font;g;icon;indicator;information;internet;label;letters;lte;mobile;mobile data;mobiledata;network;notification;numbers;phone;rate;signal;speed;status;symbol;technology;telecommunication;text;type;wifi;wireless
4g_plus_mobiledata	ms:ms ms-4g_plus_mobiledata	efd3	Android	226	4g;4g plus;4g plus mobiledata;4g_plus_mobiledata;4g+;advanced data;alphabet;Android;carrier;cell phone;cellular;cellular data;character;communication;connection;connectivity;data connection;data network;data usage;digit;fast speed;font;g;internet;letters;mobile;mobile data;mobiledata;network;network speed;network status;numbers;phone;plus;signal;signal strength;speed;symbol;technology;telecommunications;text;type;upgraded network;wifi;wireless;wireless data
4k	ms:ms ms-4k	e072	Audio&Video	378	4000;4k;4K;alphabet;alphanumeric;Audio&Video;character;cinema;content;definition;digit;digital;display;film;font;graphic;high resolution;indicator;k;label;letters;media;movie;numbers;pixel;pixels;playback;quality;quality setting;resolution;screen;streaming;symbol;technology;television;text;type;ultra hd;video
4k_plus	ms:ms ms-4k_plus	e969	Audio&Video	168	+;4000;4k;4K;4k plus;4k_plus;addition;alphabet;Audio&Video;character;digit;digital;display;equation;font;high definition;k;letters;media;monitor;multimedia;numbers;pixel;pixels;plus;quality;resolution;screen;streaming;symbol;technology;television;text;type;video
4mp	ms:ms ms-4mp	e96a	Images	89	4;4mp;aspect ratio;camera;clarity;data;detail;digit;dimension;display;font;four;image;Images;indicator;information;label;letters;measurement;mega;megapixel;megapixels;metadata;metric;mp;numbers;photo;photography;picture;pixel;pixels;quality;resolution;setting;size;specification;symbol;text;type;visual;watermark
50mp	ms:ms ms-50mp	f6f3	Images	31	50;50mp;camera;camera mode;camera setting;crisp;detail;digit;digits;fifty;fifty megapixel;font;high quality;high resolution;image;image quality;image size;Images;label;letters;megapixel;megapixels;mode;mp;number;numbers;photo mode;photography;photography setting;pixel;pixels;quality;resolution;setting;sharp;symbol;text;type
5g	ms:ms ms-5g	ef38	Android	611	5g;alphabet;Android;cellular;character;communication;connection;connectivity;data;data connection;digit;fifth generation;font;future;g;high speed;icon;indicator;internet;letters;mobile;mobile data;mobile network;modern;network;network status;numbers;performance;phone;signal;speed;status;strength;symbol;technology;telecommunications;text;type;wifi;wireless;wireless network
5g_mobiledata_badge	ms:ms ms-5g_mobiledata_badge	f7ee	Android	21	5g;5g mobiledata badge;5g_mobiledata_badge;alphabet;Android;badge;bandwidth;broadband;cellular;character;communication;connection;connectivity;data;digit;display;font;g;high speed;icon;indicator;internet;letters;mobile;mobiledata;modem;network;network status;numbers;phone;service;signal;speed;status;symbol;technology;text;type;wifi;wireless
5k	ms:ms ms-5k	e96b	Audio&Video	98	5000;5k;5K;alphabet;Audio&Video;character;clarity;crispness;definition;detail;digit;display;display setting;five k;five thousand;font;format;high definition;high quality;k;letters;movie quality;numbers;pixel;pixels;playback quality;quality indicator;resolution;screen resolution;streaming quality;symbol;text;type;uhd;ultra high definition;video;video clarity;video quality;video resolution;video settings;visual quality
5k_plus	ms:ms ms-5k_plus	e96c	Audio&Video	91	+;5000;5k;5K;5k plus;5k_plus;addition;alphabet;amount;Audio&Video;character;count;count display.;data;data point;digit;display;five;five thousand;font;k;letters;limit;limit reached;metric;metric display;more than;number;number symbol;numbers;numerical;numerical value;over;pixel;pixels;plus;plus sign;quantity;quantity indicator;resolution;statistic;sum;symbol;text;thousand;threshold;type;value;video
5mp	ms:ms ms-5mp	e96d	Images	98	5;5mp;camera;capture;clarity;detail;digit;digital;five;five megapixels;font;image;Images;indicator;information;letters;megapixel;megapixels;mp;number;numbers;option;performance;photo;photography;picture;pixel;pixels;quality;resolution;sensor;setting;size;specification;square;symbol;technology;text;type;video;videography
6_ft_apart	ms:ms ms-6_ft_apart	f21e	Social	446	6;6 feet;6 ft apart;6_ft_apart;apart;body;caution;covid;covid-19;distance;feet;figures;ft;guideline;health;health and safety;horizontal;human;instruction;line;measure;measurement;pandemic;people;person;public health;rule;safe distance;safety;separate;separation;social;Social;social distancing;spacing;standing;two people;warning
60fps	ms:ms ms-60fps	efd4	Audio&Video	195	60fps;Audio&Video;camera;capture;cinema;control;definition;digit;display;editing;film;fps;frame rate;frames;high speed;indicator;label;media;number;numbers;numeric;option;performance;playback;production;quality;recording;resolution;settings;smooth;streaming;symbol;text;video;video quality
60fps_select	ms:ms ms-60fps_select	efd5	Images	167	60;60fps;60fps select;60fps_select;camera;choice;circle;circular;configuration;control;digits;film;fps;frame;frame rate;frames per second;frequency;Images;indicator;label;media;media player;movie;number;numbers;numeric;option;per;performance;playback;preference;quality;rate;second;seconds;select;selection;settings;speed;text;video;video playback;video settings
6k	ms:ms ms-6k	e96e	Audio&Video	93	6000;6k;6K;alphabet;Audio&Video;character;clarity;definition;detail;digit;digital;display;enhanced;font;format;high definition;high resolution;indicator;k;letters;media;movie;multimedia;numbers;option;pixel;pixels;playback;premium;quality;resolution;screen;setting;streaming;symbol;television;text;type;video;video quality;visual
6k_plus	ms:ms ms-6k_plus	e96f	Audio&Video	89	+;6000;6k;6K;6k plus;6k_plus;achievement;alphabet;amount;approximation;Audio&Video;badge;character;counter;data;digit;display;estimate;font;greater than;indicator;k;label;letters;measurement;metric;milestone;minimum;more than;number;numbers;numeral;over;pixel;pixels;plus;plus sign;quantity;resolution;six thousand;statistic;symbol;text;threshold;type;value;video
6mp	ms:ms ms-6mp	e970	Images	92	6;6mp;camera;camera info;camera mode;camera settings;detail level;digit;digital photography;file information;font;high resolution;image;image information;image options;image quality;image size;Images;letters;megapixel;megapixels;metadata;mp;numbers;options;photo data;photo options;photo resolution;photo size;photography;picture detail;picture info;pixel;pixels;quality;quality indicator;quality setting;resolution;resolution info;setting;symbol;text;type
7k	ms:ms ms-7k	e971	Audio&Video	106	7000;7k;7K;abbreviation;alphabet;Audio&Video;broadcast;channel;character;content;content rating;definition;digit;display;film rating;font;high definition;high resolution;k;letters;media;movie rating;numbers;numbers 7k;pixel;pixels;quality;resolution;seven thousand;source;standard definition;streaming;symbol;television rating;text;text 7k;title;tv rating;type;video;video resolution
7k_plus	ms:ms ms-7k_plus	e972	Audio&Video	89	+;7000;7000 plus;7000+;7k;7K;7k plus;7k_plus;7k+;achievement;add;addition;alphabet;amount;Audio&Video;character;count;counter;data;digit;display;font;increase;indicator;k;label;letters;marker;measurement;metric;milestone;more than;number;numbers;pixel;pixels;plus;quantity;rating;resolution;score;statistics;symbol;text;threshold;total;type;value;video
7mp	ms:ms ms-7mp	e973	Images	100	7;7mp;action;active;animation;buffering;busy;camera;circle;circular;connection;continuous;cycle;dashed;data;digit;dotted;font;image;Images;indicator;internet;letters;loading;loop;megapixel;megapixels;mp;network;numbers;pixel;pixels;processing;progress;quality;refresh;reload;resolution;ring;round;spinning;symbol;sync;synchronize;text;type;waiting
8k	ms:ms ms-8k	e974	Audio&Video	150	8000;8k;8K;alphabet;Audio&Video;character;cinema quality;digit;display;display settings;font;high definition;k;letters;media quality;movie quality;multimedia settings;numbers;numeric;pixel;pixels;playback settings;quality;resolution;screen settings;streaming quality;symbol;text;type;uhd;uhd 8k;ultra high definition;video;video definition;video quality;video resolution;video settings;video stream;visual quality
8k_plus	ms:ms ms-8k_plus	e975	Audio&Video	113	+;7000;8k;8K;8k plus;8k_plus;advanced;alphabet;Audio&Video;character;cinema;clear;definition;digit;digital;display;enhanced;entertainment;font;high definition;image;k;letters;media;monitor;numbers;picture;pixel;pixels;playback;plus;quality;resolution;screen;sharp;streaming;symbol;technology;television;text;type;uhd;ultra high definition;video;video quality;viewing experience;visual
8mp	ms:ms ms-8mp	e976	Images	94	8;8mp;camera;capture;detail;device;digit;digital;equipment;font;image;Images;lens;letters;megapixel;megapixels;mp;number;numbers;performance;photo;photography;pixel;pixels;quality;resolution;sensor;specification;symbol;text;type
9k	ms:ms ms-9k	e977	Audio&Video	104	9000;9k;9K;alphabet;Audio&Video;character;clarity;content;definition;digit;digital;display;font;high definition;indicator;k;label;letters;marking;media;monitor;movie;nine k;numbers;performance;pixel;pixels;playback;quality;rating;resolution;screen;specification;stream;symbol;tag;technical;television;text;type;video
9k_plus	ms:ms ms-9k_plus	e978	Audio&Video	106	+;9000;9k;9K;9k plus;9k_plus;achievement;alphabet;amount;analytic;Audio&Video;calculation;character;count;data;digit;display;equation;font;indicator;k;letters;level;limit;math;measurement;metric;milestone;more than;number;numbers;over;performance;pixel;pixels;plus;quantitative;ranking;rating;resolution;symbol;text;threshold;type;value;video
9mp	ms:ms ms-9mp	e979	Images	102	9;9 megapixel;9 mp;9mp;camera;camera icon;camera resolution;camera settings;digit;digital camera;file format;file size;font;format;image;image format;image icon;image quality;Images;letters;megapixel;megapixels;mp;nine;nine megapixel;numbers;photo icon;photo resolution;photo size;photography;picture quality;pixel;pixels;quality;quality indicator;quality setting;resolution;resolution indicator;resolution setting;symbol;text;type;video quality;video resolution;video size;videography
abc	ms:ms ms-abc	eb94	UI actions	1510	abc;absent;alphabet;bare;blank;character;clean;clear;empty;featureless;font;invisible;letters;minimal;neutral;no icon;no image;nothing;null;placeholder;plain;pristine;space;symbol;text;transparent;type;UI actions;undefined;undepicted;unillustrated;unimaged;unrepresented;unseen;unstyled;untouched;unvisualized;void;white
ac_unit	ms:ms ms-ac_unit	eb3b	Household	3222	ac;ac unit;ac_unit;air;air conditioning;asterisk;climate;cold;condition;conditioner;control;cool;cooling;crystal;flake;frost;frozen;Household;ice;point;points;polygon;six pointed star;six points;snow;snowflake;star;temperature;unit;weather;winter
access_alarm	ms:ms ms-access_alarm	e855			access;access alarm;access_alarm;alarm
access_alarms	ms:ms ms-access_alarms	e855			access;access alarms;access_alarms;alarms
access_time	ms:ms ms-access_time	efd6			access;access time;access_time;time
access_time_filled	ms:ms ms-access_time_filled	efd6			access;access time filled;access_time_filled;filled;time
accessibility	ms:ms ms-accessibility	e84e	Actions	2026	access;accessibility;accessible;Actions;aid;assistance;barrier-free;body;disability;disabled;easy access;feature;figure;handicap;help;human;inclusion;inclusive;inclusivity;mobility;navigation;options;people;person;pictogram;ramp;services;setting;special needs;support;symbol;universal;wheelchair
accessibility_new	ms:ms ms-accessibility_new	e92c	Actions	3659	access;accessibility;accessibility icon;accessibility new;accessibility statement;accessibility_new;accessible;Actions;assistance;barrier-free;body;disability;disabled;figure;handicap;help;human;inclusion;inclusive;moving;needs;new;outline;people;person;pictogram;shape;silhouette;special needs;standing;support;symbol;universal access;user
accessible	ms:ms ms-accessible	e914	Actions	2287	accessibility;accessible;Actions;assistance;body;disability;disabled;easy access;facilities;figure;handicap;handicapped;healthcare;help;human;information;international symbol;medical;mobility;mobility impaired;parking;people;person;public access;ramp;services;sign;support;symbol;toilet;transport;wheelchair
accessible_forward	ms:ms ms-accessible_forward	e934	Actions	1152	accessibility;accessible;accessible forward;accessible_forward;Actions;arrow;arrow right;body;continue;direction;figure;forward;geometric;graphic;handicap;help;human;icon;mobility;movement;navigation;next;people;person;pictogram;progress;right;shape;silhouette;symbol;ui element;user;wheelchair
accessible_menu	ms:ms ms-accessible_menu	f34e	UI actions	24	accessibility;accessibility options;accessible;accessible menu;accessible_menu;assistive technology;bars;body;burger menu;collapse;details;disability;drawer;expand;figure;hamburger menu;horizontal lines;human;information;list;menu;menu bar;more;navigation;navigation bar;options;outline;panel;people;person;personal;preferences;profile;settings;side menu;stacked lines;three lines;toggle;UI actions;user
account_balance	ms:ms ms-account_balance	e84f	Business	11957	account;account balance;account_balance;accounting;balance;bank;banking;bill;building;business;Business;card;cash;coin;columns;commerce;courthouse;credit;currency;dollars;economic;federal;finance;financial;financial institution;government;institution;investment;loan;money;mortgage;online;pay;payment;pillars;prosperity;savings;structure;transaction;treasury;wealth
account_balance_wallet	ms:ms ms-account_balance_wallet	e850	Business	10344	account;account balance wallet;account_balance_wallet;assets;balance;bank;banking;bill;budget;Business;card;cash;coin;commerce;credit;credit card;currency;dollar;dollars;economics;economy;expense;finance;finances;financial;funds;income;investment;money;online;pay;payment;purse;rectangle;revenue;savings;square;transaction;wallet;wealth
account_box	ms:ms ms-account_box	e851	Actions	5433	account;account box;account icon;account_box;accounts;Actions;avatar;box;bust;contact;contact icon;face;figure;head;human;identity;individual;login;man;member;outline;people;person;person outline;person symbol;profile;register;shape;shoulders;sign in;sign up;silhouette;square;thumbnail;user;user icon;user profile
account_child	ms:ms ms-account_child	e852	Actions	70	account;account child;account_child;Actions;body;child;child account;child profile;child user;children;circle and torso;dependent account;dependent profile;dependent user;family account;family profile;head and shoulders;human;junior account;kid;kid account;little profile;little user;minor account;minor profile;minor user;parent account;parent profile;people;person;profile child;profile minor;secondary profile;secondary user;small profile;small user;user child;user minor;young;young user;youth account
account_child_invert	ms:ms ms-account_child_invert	e659	Actions	122	access;account;account child invert;account_child_invert;Actions;avatar;body;child;children;circle;configuration;family;guardian;head;human;identity;individual;invert;kid;kids;login;management;membership;minor;outline;parent;people;person;personalization;privacy;profile;rounded;security;settings;shoulders;silhouette;single person;user;young
account_circle	ms:ms ms-account_circle	f20b	Actions	68251	account;account circle;account details;account icon;account management;account settings;account_circle;Actions;avatar;bust;circle;face;filled account;full account;head;human;login;my account;people;person;person icon;personal;personal information;personal mode;profile;profile icon;shoulders;sign in;thumbnail;user;user icon;user profile;user settings
account_circle_filled	ms:ms ms-account_circle_filled	f20b			account;account circle filled;account_circle_filled;circle;filled
